C_A,C_B,desc_A,desc_B,phi,abs_phi,nivel
C1,C2,OR_grande (top 40%),Retest ≤10 min,0.2925,0.2925,Moderada (0.20-0.30)
C5,C6,Breakout ≤30 min,Sesgo alineado,0.2447,0.2447,Moderada (0.20-0.30)
C2,C3,Retest ≤10 min,MFE_pre 0.30-0.50%,-0.095,0.095,Negligible (<0.10)
C2,C6,Retest ≤10 min,Sesgo alineado,-0.0827,0.0827,Negligible (<0.10)
C1,C5,OR_grande (top 40%),Breakout ≤30 min,-0.0756,0.0756,Negligible (<0.10)
C1,C6,OR_grande (top 40%),Sesgo alineado,0.0716,0.0716,Negligible (<0.10)
C1,C4,OR_grande (top 40%),Vol_ratio p40-p60,0.0606,0.0606,Negligible (<0.10)
C2,C5,Retest ≤10 min,Breakout ≤30 min,0.048,0.048,Negligible (<0.10)
C2,C4,Retest ≤10 min,Vol_ratio p40-p60,0.0479,0.0479,Negligible (<0.10)
C3,C5,MFE_pre 0.30-0.50%,Breakout ≤30 min,-0.0356,0.0356,Negligible (<0.10)
C1,C3,OR_grande (top 40%),MFE_pre 0.30-0.50%,-0.0249,0.0249,Negligible (<0.10)
C4,C6,Vol_ratio p40-p60,Sesgo alineado,-0.0177,0.0177,Negligible (<0.10)
C3,C4,MFE_pre 0.30-0.50%,Vol_ratio p40-p60,-0.0102,0.0102,Negligible (<0.10)
C4,C5,Vol_ratio p40-p60,Breakout ≤30 min,-0.0054,0.0054,Negligible (<0.10)
C3,C6,MFE_pre 0.30-0.50%,Sesgo alineado,-0.0039,0.0039,Negligible (<0.10)
