or_duration_min,score,n,pct_continuacion,pct_falla,pct_neutro,mfe_post_avg
5,1,114,43.9,28.1,28.1,0.3135
5,2,317,42.6,33.4,24.0,0.345
5,3,368,43.5,37.2,19.3,0.3702
5,4,225,58.2,27.6,14.2,0.3844
5,5,61,67.2,27.9,4.9,0.423
5,6,11,54.5,36.4,9.1,0.5332
10,0,8,37.5,0.0,62.5,0.4205
10,1,135,37.0,27.4,35.6,0.3092
10,2,316,43.4,25.3,31.3,0.3183
10,3,313,46.0,24.6,29.4,0.3904
10,4,193,59.1,20.7,20.2,0.3858
10,5,65,66.2,24.6,9.2,0.416
10,6,7,71.4,28.6,0.0,0.3948
15,0,23,34.8,13.0,52.2,0.3233
15,1,145,31.0,22.1,46.9,0.2888
15,2,314,40.8,21.3,37.9,0.3321
15,3,331,47.1,17.8,35.0,0.3791
15,4,177,58.8,14.1,27.1,0.3769
15,5,52,76.9,13.5,9.6,0.4223
20,0,50,32.0,14.0,54.0,0.3099
20,1,169,33.7,14.2,52.1,0.2971
20,2,300,44.7,15.3,40.0,0.3298
20,3,292,50.7,13.4,36.0,0.3651
20,4,169,55.0,13.0,32.0,0.3999
20,5,36,63.9,11.1,25.0,0.3836
25,0,85,41.2,14.1,44.7,0.2956
25,1,200,39.5,8.5,52.0,0.3242
25,2,283,45.6,14.5,39.9,0.3422
25,3,263,49.0,7.6,43.3,0.3676
25,4,138,60.1,8.7,31.2,0.3952
25,5,28,53.6,0.0,46.4,0.3549
30,0,104,41.3,9.6,49.0,0.2863
30,1,257,40.9,9.7,49.4,0.3352
30,2,267,49.4,9.4,41.2,0.3498
30,3,212,51.9,6.6,41.5,0.3755
30,4,91,56.0,8.8,35.2,0.3967
30,5,31,58.1,3.2,38.7,0.4066
35,0,125,43.2,6.4,50.4,0.2876
35,1,296,39.2,6.8,54.1,0.3232
35,2,287,44.6,7.0,48.4,0.3642
35,3,171,58.5,5.8,35.7,0.3962
35,4,57,66.7,5.3,28.1,0.3636
40,0,108,41.7,5.6,52.8,0.2869
40,1,298,39.6,4.7,55.7,0.3088
40,2,281,46.3,5.7,48.0,0.3777
40,3,166,63.9,2.4,33.7,0.3583
40,4,50,60.0,10.0,30.0,0.3844
40,5,6,83.3,0.0,16.7,0.4088
45,0,100,39.0,4.0,57.0,0.2874
45,1,289,39.4,5.5,55.0,0.309
45,2,235,51.1,2.6,46.4,0.3725
45,3,171,57.9,2.9,39.2,0.3542
45,4,55,56.4,9.1,34.5,0.3802
45,5,5,80.0,0.0,20.0,0.4139
50,0,108,40.7,3.7,55.6,0.2894
50,1,266,39.5,4.1,56.4,0.3221
50,2,246,45.1,2.4,52.4,0.3606
50,3,178,57.3,2.8,39.9,0.3629
50,4,45,57.8,0.0,42.2,0.3664
50,5,6,66.7,16.7,16.7,0.4078
55,0,94,40.4,3.2,56.4,0.2951
55,1,268,40.3,2.2,57.5,0.3311
55,2,285,41.4,2.8,55.8,0.3397
55,3,140,59.3,1.4,39.3,0.3643
55,4,44,61.4,2.3,36.4,0.3968
55,5,5,60.0,0.0,40.0,0.3721
60,0,85,37.6,0.0,62.4,0.2856
60,1,285,37.9,3.2,58.9,0.3206
60,2,252,44.4,2.4,53.2,0.3642
60,3,140,57.1,0.7,42.1,0.3634
60,4,41,48.8,2.4,48.8,0.3922
60,5,7,85.7,0.0,14.3,0.3821
65,0,87,36.8,1.1,62.1,0.2803
65,1,266,35.3,3.4,61.3,0.3169
65,2,256,44.9,2.0,53.1,0.3524
65,3,131,51.1,0.0,48.9,0.3989
65,4,35,65.7,0.0,34.3,0.4029
70,0,91,28.6,1.1,70.3,0.2796
70,1,246,38.6,2.0,59.3,0.3229
70,2,271,45.8,2.6,51.7,0.3688
70,3,137,50.4,0.0,49.6,0.3664
70,4,30,70.0,0.0,30.0,0.4064
75,0,94,29.8,1.1,69.1,0.2756
75,1,247,34.8,2.0,63.2,0.336
75,2,255,46.7,2.0,51.4,0.3588
75,3,145,53.1,2.1,44.8,0.3805
75,4,34,58.8,0.0,41.2,0.3784
75,5,5,80.0,0.0,20.0,0.4194
80,0,98,34.7,2.0,63.3,0.2915
80,1,241,37.8,1.7,60.6,0.339
80,2,252,41.7,2.4,56.0,0.3612
80,3,130,50.0,0.8,49.2,0.3645
80,4,34,64.7,0.0,35.3,0.3561
85,0,94,33.0,0.0,67.0,0.2829
85,1,238,38.2,2.5,59.2,0.3451
85,2,258,41.1,1.9,57.0,0.3583
85,3,126,50.8,1.6,47.6,0.3527
85,4,33,66.7,0.0,33.3,0.3968
90,0,96,30.2,1.0,68.8,0.3025
