condiciones,n_condiciones,n,pct_continuacion,pct_falla,pct_neutro,mfe_post_avg,mfe_post_med,cont_ratio_avg,mae_falla_avg,mins_cont_avg,or_duration_min
OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60 + Break<=30min + Sesgo_alineado,5,107,75.7,17.8,6.5,0.3856,0.3421,1.3685,1.0027,12.2,todos
OR_grande(top40%) + Retest<=10min + MFE_pre_0.3-0.5% + VolRatio_p40-p60,4,154,74.7,13.0,12.3,0.4309,0.4061,1.2125,1.0591,14.4,todos
Retest<=10min + VolRatio_p40-p60 + Break<=30min + Sesgo_alineado,4,161,73.9,17.4,8.7,0.3554,0.3156,1.3149,0.8297,13.2,todos
OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60,3,589,73.2,7.6,19.2,0.3496,0.3344,1.2418,1.1287,12.9,todos
OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60 + Sesgo_alineado,4,391,73.1,6.9,19.9,0.3459,0.3226,1.2495,1.2624,13.0,todos
Retest<=10min + VolRatio_p40-p60 + Sesgo_alineado,3,507,72.2,7.7,20.1,0.3333,0.3064,1.2375,1.0428,13.8,todos
Retest<=10min + VolRatio_p40-p60,2,810,72.0,8.9,19.1,0.3389,0.3166,1.2322,0.8924,13.7,todos
OR_grande(top40%) + Retest<=10min + MFE_pre_0.3-0.5% + VolRatio_p40-p60 + Sesgo_alineado,5,96,71.9,11.5,16.7,0.4379,0.4024,1.2376,1.0747,14.8,todos
Retest<=10min + VolRatio_p40-p60 + Break<=30min,3,249,71.5,20.1,8.4,0.3616,0.3238,1.3094,0.7754,13.1,todos
OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60 + Break<=30min,4,160,71.2,20.0,8.8,0.3869,0.3436,1.3725,0.9646,11.8,todos
Retest<=10min + MFE_pre_0.3-0.5% + VolRatio_p40-p60,3,196,70.9,12.8,16.3,0.4301,0.4103,1.2208,0.9259,14.9,todos
OR_grande(top40%) + Retest<=10min + Sesgo_alineado,3,1447,69.7,8.9,21.4,0.3552,0.3193,1.2667,1.1443,12.3,todos
OR_grande(top40%) + Retest<=10min,2,2256,69.3,10.2,20.6,0.3782,0.3298,1.299,1.0462,12.1,todos
OR_grande(top40%) + Retest<=10min + MFE_pre_0.3-0.5%,3,617,69.2,15.4,15.4,0.4305,0.4103,1.1982,1.0543,13.7,todos
Retest<=10min + MFE_pre_0.3-0.5% + VolRatio_p40-p60 + Sesgo_alineado,4,112,68.8,11.6,19.6,0.436,0.4024,1.2387,0.977,15.4,todos
OR_grande(top40%) + Retest<=10min + MFE_pre_0.3-0.5% + Sesgo_alineado,4,367,68.1,13.4,18.5,0.4374,0.4107,1.2258,1.0503,15.1,todos
OR_grande(top40%) + Retest<=10min + Break<=30min + Sesgo_alineado,4,462,68.0,19.5,12.6,0.3818,0.3396,1.3,0.9307,11.4,todos
Retest<=10min + Sesgo_alineado,2,2090,67.7,10.4,21.9,0.3361,0.3001,1.2447,0.8854,13.5,todos
Retest<=10min + Break<=30min + Sesgo_alineado,3,697,65.9,22.2,11.9,0.3534,0.3115,1.2643,0.7184,12.1,todos
Retest<=10min + MFE_pre_0.3-0.5% + Sesgo_alineado,3,450,65.8,14.0,20.2,0.4313,0.4019,1.2237,0.9319,15.2,todos
