date,or_size_pct,or_close_position,breakout_dir,breakout_minute,vol_ratio,mfe_pre_retest_pct,mins_to_retest,outcome_60min,outcome_120min,outcome_cierre,mins_resolution
2017-01-30,0.5938,0.0405,down,15,1.5379,0.4092,117.0,neutro,neutro,neutro,
2017-02-02,0.3684,0.8696,up,15,0.6653,0.2075,20.0,continuacion,continuacion,continuacion,53.0
2017-02-07,0.1905,1.0,up,15,1.0845,0.2615,100.0,neutro,neutro,neutro,
2017-02-21,0.1693,0.8636,up,15,1.1916,0.2381,99.0,neutro,neutro,continuacion,269.0
2017-03-07,0.2455,0.1562,up,49,0.6271,0.3215,67.0,neutro,neutro,falla,255.0
2017-03-08,0.23,1.0,up,15,1.1491,0.2906,119.0,neutro,neutro,neutro,
2017-03-09,0.2285,0.8054,up,15,1.0238,0.2234,38.0,neutro,neutro,falla,221.0
2017-03-14,0.1377,0.2222,up,21,0.6877,0.2215,80.0,neutro,continuacion,continuacion,76.0
2017-03-22,0.4396,0.7719,up,23,0.7484,0.3609,120.0,neutro,neutro,continuacion,147.0
2017-04-07,0.2912,0.401,down,22,0.8478,0.2866,17.0,neutro,neutro,falla,200.0
2017-04-11,0.451,0.0219,down,15,1.1959,0.3194,19.0,continuacion,continuacion,continuacion,17.0
2017-04-17,0.2242,0.3754,up,36,1.037,0.2221,30.0,neutro,neutro,continuacion,281.0
2017-05-09,0.2269,0.9872,up,15,0.7244,0.2821,94.0,neutro,neutro,neutro,
2017-06-07,0.1843,0.5795,down,20,1.2199,0.2137,57.0,neutro,continuacion,continuacion,120.0
2017-06-08,0.4057,0.3976,down,17,1.2249,0.2032,31.0,continuacion,continuacion,continuacion,2.0
2017-06-15,0.4212,0.0207,down,15,1.0624,0.2305,2.0,continuacion,continuacion,continuacion,35.0
2017-06-16,0.4854,0.1179,down,49,0.9786,0.2912,61.0,neutro,neutro,neutro,
2017-06-21,0.2292,0.6562,up,17,0.9737,0.343,77.0,neutro,continuacion,continuacion,87.0
2017-06-28,0.4056,0.3929,down,21,0.9345,0.2028,5.0,continuacion,continuacion,continuacion,2.0
2017-06-29,0.5989,0.0,down,15,1.1796,0.4257,56.0,continuacion,continuacion,continuacion,25.0
2017-07-06,0.4554,0.4194,down,19,1.0668,0.2498,22.0,neutro,falla,falla,84.0
2017-07-07,0.3072,0.4286,up,23,0.566,0.2333,61.0,continuacion,continuacion,continuacion,33.0
2017-07-11,0.1881,0.7692,up,20,0.7135,0.4548,90.0,falla,falla,falla,4.0
2017-07-13,0.2488,0.6286,up,15,0.9095,0.234,30.0,falla,falla,falla,16.0
2017-07-17,0.1689,0.9167,up,15,1.2718,0.2107,35.0,falla,falla,falla,17.0
2017-07-18,0.3036,0.6512,up,16,0.754,0.2605,56.0,continuacion,continuacion,continuacion,13.0
2017-07-20,0.2777,0.1,down,15,0.9988,0.2013,37.0,continuacion,continuacion,continuacion,9.0
2017-07-28,0.623,0.9551,up,152,0.3809,0.2157,64.0,neutro,neutro,neutro,
2017-08-03,0.2853,0.7805,down,23,0.91,0.2296,8.0,continuacion,continuacion,continuacion,4.0
2017-08-09,0.4272,0.3279,up,25,1.039,0.272,76.0,continuacion,continuacion,continuacion,41.0
2017-08-18,0.3047,0.2326,down,15,0.8452,0.3401,21.0,falla,falla,falla,36.0
2017-08-21,0.383,0.6852,down,27,0.9569,0.5745,94.0,neutro,neutro,neutro,
2017-08-24,0.4209,0.1167,down,15,1.0573,0.4489,48.0,continuacion,continuacion,continuacion,42.0
2017-08-29,0.4963,0.7714,up,16,1.0042,0.2116,21.0,continuacion,continuacion,continuacion,20.0
2017-09-01,0.2874,0.2619,down,21,1.2067,0.3831,43.0,neutro,neutro,neutro,
2017-09-06,0.3591,0.25,down,20,1.2902,0.2693,44.0,continuacion,continuacion,continuacion,5.0
2017-09-07,0.2482,0.8056,up,15,0.6209,0.2819,95.0,neutro,falla,falla,91.0
2017-09-08,0.2207,0.4375,down,19,1.4237,0.2069,63.0,continuacion,continuacion,continuacion,51.0
2017-09-12,0.2877,0.3095,down,16,0.7442,0.2397,33.0,continuacion,continuacion,continuacion,34.0
2017-09-14,0.3368,0.1837,up,63,0.8182,0.2192,70.0,neutro,neutro,falla,255.0
2017-09-21,0.4357,0.2063,down,18,1.3134,0.2351,16.0,continuacion,continuacion,continuacion,4.0
2017-09-27,0.3413,0.776,down,42,0.7361,0.2224,57.0,neutro,neutro,falla,174.0
2017-09-29,0.2005,0.6517,down,21,1.3908,0.2012,14.0,falla,falla,falla,34.0
2017-10-19,0.4268,0.2397,down,15,0.6871,0.21,9.0,continuacion,continuacion,continuacion,8.0
2017-10-30,0.3773,0.8772,up,15,1.0014,0.3561,86.0,neutro,falla,falla,68.0
2017-11-14,0.3139,0.5,down,30,1.4376,0.2354,10.0,falla,falla,falla,36.0
2017-11-15,0.5937,0.1776,up,65,0.9125,0.2096,87.0,neutro,neutro,neutro,
2017-11-30,0.4353,0.6125,up,61,0.9039,0.2907,56.0,continuacion,continuacion,continuacion,53.0
2017-12-01,0.4937,0.3167,up,46,0.9215,0.2066,12.0,falla,falla,falla,45.0
2017-12-05,1.0454,0.8742,up,21,0.8797,0.2408,17.0,continuacion,continuacion,continuacion,41.0
2017-12-06,0.7372,0.901,up,29,1.0553,0.222,87.0,neutro,neutro,continuacion,155.0
2017-12-07,0.4298,0.4401,up,60,0.4102,0.2533,38.0,continuacion,continuacion,continuacion,47.0
