or_duration_min,gap_tipo,n_dias,pct_break_up,pct_break_down,avg_mfe_pct,median_mfe_pct
5,gap_alcista,1041,50.5,49.5,0.7102,0.5041
5,gap_bajista,776,56.8,43.2,0.8553,0.6084
5,gap_plano,314,49.4,50.6,0.5472,0.3559
10,gap_alcista,1040,51.2,48.8,0.6655,0.479
10,gap_bajista,776,53.5,46.5,0.7793,0.5257
10,gap_plano,314,53.8,46.2,0.5689,0.3786
15,gap_alcista,1040,50.7,49.3,0.6506,0.4763
15,gap_bajista,775,54.1,45.9,0.7868,0.5439
15,gap_plano,314,51.3,48.7,0.5467,0.3882
20,gap_alcista,1037,50.7,49.3,0.644,0.4387
20,gap_bajista,775,53.9,46.1,0.756,0.5396
20,gap_plano,314,49.7,50.3,0.5468,0.39
25,gap_alcista,1035,52.4,47.6,0.6314,0.4557
25,gap_bajista,775,56.0,44.0,0.7214,0.5075
25,gap_plano,313,51.8,48.2,0.5325,0.3705
30,gap_alcista,1033,53.5,46.5,0.6179,0.4487
30,gap_bajista,771,55.3,44.7,0.7118,0.5069
30,gap_plano,312,52.2,47.8,0.5215,0.3702
