date,or_duration_min,or_high,or_low,or_size_pts,or_size_pct,or_close_position,gap_pct,breakout_dir,breakout_minute,breakout_strength,mfe_total_pts,mfe_total_pct
2017-01-26,5,125.81,125.57,0.24,0.1911,0.8333,,down,11.0,0.0417,0.23,0.1832
2017-01-26,10,125.81,125.57,0.24,0.1911,0.4583,,down,11.0,0.0417,0.23,0.1832
2017-01-26,15,125.81,125.52,0.29,0.231,0.3448,,down,15.0,0.0345,0.18,0.1434
2017-01-26,20,125.81,125.47,0.34,0.271,0.2647,,down,55.0,0.0294,0.13,0.1036
2017-01-26,25,125.81,125.47,0.34,0.271,0.5294,,down,55.0,0.0294,0.13,0.1036
2017-01-26,30,125.81,125.47,0.34,0.271,0.5,,down,55.0,0.0294,0.13,0.1036
2017-01-27,5,125.91,125.72,0.19,0.1511,0.0526,0.2151,down,5.0,-0.1053,0.33,0.2625
2017-01-27,10,125.91,125.65,0.26,0.2069,0.2308,0.2151,down,10.0,-0.0385,0.26,0.2069
2017-01-27,15,125.91,125.58,0.33,0.2628,0.0909,0.2151,down,15.0,-0.1212,0.19,0.1513
2017-01-27,20,125.91,125.52,0.39,0.3107,0.0,0.2151,down,25.0,0.0769,0.13,0.1036
2017-01-27,25,125.91,125.52,0.39,0.3107,0.0769,0.2151,down,25.0,0.0769,0.13,0.1036
2017-01-27,30,125.91,125.45,0.46,0.3667,0.2174,0.2151,down,38.0,0.0435,0.06,0.0478
2017-01-30,5,125.37,125.1,0.27,0.2158,0.0741,-0.326,down,5.0,0.1852,0.98,0.7834
2017-01-30,10,125.37,124.83,0.54,0.4326,0.037,-0.326,down,10.0,-0.0556,0.71,0.5688
2017-01-30,15,125.37,124.63,0.74,0.5938,0.0405,-0.326,down,15.0,-0.0541,0.51,0.4092
2017-01-30,20,125.37,124.49,0.88,0.7069,0.0455,-0.326,down,20.0,0.0455,0.37,0.2972
2017-01-30,25,125.37,124.439,0.931,0.7482,0.1515,-0.326,down,36.0,0.0634,0.319,0.2564
2017-01-30,30,125.37,124.439,0.931,0.7482,0.13,-0.326,down,36.0,0.0634,0.319,0.2564
2017-01-31,5,124.54,124.32,0.22,0.177,0.2727,-0.3837,down,11.0,0.0455,0.47,0.3781
2017-01-31,10,124.54,124.32,0.22,0.177,0.2273,-0.3837,down,11.0,0.0455,0.47,0.3781
2017-01-31,15,124.54,124.21,0.33,0.2657,0.2121,-0.3837,down,15.0,-0.1485,0.36,0.2898
2017-01-31,20,124.54,124.2,0.34,0.2738,0.3824,-0.3837,down,21.0,0.1471,0.35,0.2818
2017-01-31,25,124.54,124.15,0.39,0.3141,0.0513,-0.3837,down,33.0,0.1026,0.3,0.2416
2017-01-31,30,124.54,124.15,0.39,0.3141,0.3333,-0.3837,down,33.0,0.1026,0.3,0.2416
2017-02-01,5,125.56,125.41,0.15,0.1196,0.8667,0.6743,up,5.0,0.2667,0.11,0.0876
2017-02-01,10,125.67,125.41,0.26,0.2073,0.6538,0.6743,down,16.0,0.1154,0.55,0.4386
2017-02-01,15,125.67,125.41,0.26,0.2073,0.4231,0.6743,down,16.0,0.1154,0.55,0.4386
2017-02-01,20,125.67,125.38,0.29,0.2313,0.2069,0.6743,down,22.0,0.0,0.52,0.4147
2017-02-01,25,125.67,125.35,0.32,0.2553,0.0938,0.6743,down,34.0,0.0938,0.49,0.3909
2017-02-01,30,125.67,125.35,0.32,0.2553,0.0625,0.6743,down,34.0,0.0938,0.49,0.3909
2017-02-02,5,125.26,124.89,0.37,0.2963,0.2432,-0.1754,down,5.0,-0.1351,0.04,0.032
2017-02-02,10,125.26,124.85,0.41,0.3284,0.6341,-0.1754,up,14.0,-0.0244,0.43,0.3433
2017-02-02,15,125.31,124.85,0.46,0.3684,0.8696,-0.1754,up,15.0,-0.0435,0.38,0.3032
2017-02-02,20,125.4,124.85,0.55,0.4405,1.0,-0.1754,up,26.0,0.0909,0.29,0.2313
2017-02-02,25,125.4,124.85,0.55,0.4405,0.9091,-0.1754,up,26.0,0.0909,0.29,0.2313
2017-02-02,30,125.57,124.85,0.72,0.5767,0.9861,-0.1754,up,88.0,0.0833,0.12,0.0956
2017-02-03,5,125.53,125.39,0.14,0.1117,0.6429,0.1405,up,5.0,0.0,0.27,0.2151
2017-02-03,10,125.62,125.39,0.23,0.1834,0.913,0.1405,up,10.0,-0.087,0.18,0.1433
2017-02-03,15,125.64,125.39,0.25,0.1994,0.184,0.1405,up,55.0,0.52,0.16,0.1273
2017-02-03,20,125.64,125.39,0.25,0.1994,0.52,0.1405,up,55.0,0.52,0.16,0.1273
2017-02-03,25,125.64,125.39,0.25,0.1994,0.56,0.1405,up,55.0,0.52,0.16,0.1273
2017-02-03,30,125.64,125.39,0.25,0.1994,0.504,0.1405,up,55.0,0.52,0.16,0.1273
2017-02-06,5,125.51,125.4,0.11,0.0877,0.7273,-0.1703,down,5.0,0.2727,0.05,0.0399
2017-02-06,10,125.56,125.35,0.21,0.1675,0.9524,-0.1703,up,24.0,0.0952,0.28,0.223
2017-02-06,15,125.56,125.35,0.21,0.1675,0.6667,-0.1703,up,24.0,0.0952,0.28,0.223
2017-02-06,20,125.56,125.35,0.21,0.1675,0.2381,-0.1703,up,24.0,0.0952,0.28,0.223
2017-02-06,25,125.58,125.35,0.23,0.1835,1.0,-0.1703,up,25.0,-0.0435,0.26,0.207
2017-02-06,30,125.6,125.35,0.25,0.1994,0.76,-0.1703,up,47.0,0.2,0.24,0.1911
2017-02-07,5,126.13,125.97,0.16,0.127,0.625,0.1915,up,6.0,0.0438,0.41,0.3251
2017-02-07,10,126.19,125.97,0.22,0.1746,1.0,0.1915,up,10.0,-0.1364,0.35,0.2774
2017-02-07,15,126.21,125.97,0.24,0.1905,1.0,0.1915,up,15.0,0.1667,0.33,0.2615
2017-02-07,20,126.28,125.97,0.31,0.2461,0.8387,0.1915,up,36.0,0.0968,0.26,0.2059
2017-02-07,25,126.28,125.97,0.31,0.2461,0.871,0.1915,up,36.0,0.0968,0.26,0.2059
2017-02-07,30,126.28,125.97,0.31,0.2461,0.8065,0.1915,up,36.0,0.0968,0.26,0.2059
2017-02-08,5,126.14,126.0,0.14,0.1111,0.5714,-0.1362,up,8.0,0.0,0.53,0.4202
2017-02-08,10,126.15,126.0,0.15,0.119,0.5333,-0.1362,down,16.0,0.1333,0.12,0.0952
2017-02-08,15,126.15,126.0,0.15,0.119,0.3333,-0.1362,down,16.0,0.1333,0.12,0.0952
2017-02-08,20,126.15,125.88,0.27,0.2145,0.0,-0.1362,up,42.0,0.4815,0.52,0.4122
