or_duration_min,dia_semana,n,mfe_avg_pct,mfe_med_pct,vol_ratio_avg,pct_up
5,Monday,428,0.6755,0.488,0.97,55.8
5,Tuesday,471,0.7123,0.5006,0.97,49.0
5,Wednesday,468,0.791,0.5674,0.97,53.6
5,Thursday,461,0.8018,0.5558,0.99,51.2
5,Friday,462,0.7342,0.5022,0.99,51.7
10,Monday,428,0.6492,0.4562,0.94,57.7
10,Tuesday,471,0.6672,0.4836,0.96,51.8
10,Wednesday,467,0.6931,0.5013,0.93,53.5
10,Thursday,461,0.751,0.4682,0.94,47.9
10,Friday,462,0.7138,0.4952,0.94,51.7
15,Monday,428,0.6602,0.4398,0.94,58.9
15,Tuesday,471,0.6839,0.4953,0.95,51.2
15,Wednesday,467,0.687,0.4875,0.93,51.0
15,Thursday,460,0.7303,0.4856,0.94,48.3
15,Friday,462,0.7125,0.4993,0.94,52.8
20,Monday,428,0.6416,0.4208,0.93,57.2
20,Tuesday,471,0.6755,0.4944,0.95,51.0
20,Wednesday,466,0.6576,0.4585,0.92,50.4
20,Thursday,458,0.6971,0.4545,0.93,48.7
20,Friday,462,0.7119,0.5172,0.93,53.2
25,Monday,427,0.6143,0.4091,0.92,56.9
25,Tuesday,470,0.6399,0.4864,0.94,54.5
25,Wednesday,466,0.6602,0.4612,0.91,52.1
25,Thursday,458,0.6808,0.4544,0.92,52.2
25,Friday,461,0.6971,0.5122,0.92,53.1
30,Monday,424,0.5932,0.4206,0.94,57.8
30,Tuesday,468,0.6219,0.4494,0.97,54.7
30,Wednesday,466,0.6541,0.4532,0.94,52.6
30,Thursday,458,0.6713,0.4365,0.96,51.3
30,Friday,459,0.7134,0.5302,0.96,53.8
35,Monday,423,0.5609,0.3865,0.9,57.7
35,Tuesday,465,0.5909,0.4073,0.92,55.1
35,Wednesday,463,0.6447,0.4382,0.91,53.6
35,Thursday,456,0.6414,0.4181,0.94,50.7
35,Friday,455,0.6861,0.4972,0.91,53.0
40,Monday,421,0.5556,0.3871,0.9,55.8
40,Tuesday,464,0.5616,0.3769,0.91,56.0
40,Wednesday,462,0.6317,0.4336,0.9,54.8
40,Thursday,454,0.6337,0.4173,0.92,49.8
40,Friday,452,0.6584,0.4702,0.91,53.1
45,Monday,418,0.5255,0.3774,0.9,55.7
45,Tuesday,459,0.5561,0.3809,0.91,56.2
45,Wednesday,460,0.619,0.4194,0.9,55.2
45,Thursday,450,0.6194,0.4121,0.92,51.6
45,Friday,448,0.6368,0.4554,0.91,53.3
50,Monday,414,0.525,0.3717,0.89,56.5
50,Tuesday,454,0.5589,0.3869,0.92,55.3
50,Wednesday,458,0.6089,0.4045,0.89,55.5
50,Thursday,448,0.6091,0.3968,0.91,50.9
50,Friday,445,0.6241,0.4531,0.91,52.4
55,Monday,411,0.5267,0.3583,0.9,57.2
55,Tuesday,453,0.5422,0.3895,0.91,55.6
55,Wednesday,456,0.6026,0.3933,0.9,54.4
55,Thursday,446,0.5896,0.4084,0.91,51.1
55,Friday,443,0.6104,0.4357,0.9,51.2
60,Monday,410,0.5295,0.3486,0.91,55.4
60,Tuesday,451,0.5424,0.3749,0.91,54.8
60,Wednesday,455,0.5844,0.3776,0.91,55.2
60,Thursday,443,0.5787,0.407,0.91,51.2
60,Friday,440,0.5909,0.4288,0.94,52.7
65,Monday,406,0.5279,0.3486,0.88,55.2
65,Tuesday,448,0.5349,0.3728,0.9,54.0
65,Wednesday,450,0.5809,0.3764,0.89,55.3
65,Thursday,438,0.5728,0.391,0.9,52.7
65,Friday,437,0.5802,0.4157,0.9,54.2
70,Monday,400,0.5226,0.3486,0.87,56.2
70,Tuesday,447,0.5264,0.3673,0.9,54.1
70,Wednesday,444,0.5788,0.3723,0.9,55.4
70,Thursday,434,0.5774,0.3807,0.89,53.7
70,Friday,436,0.5612,0.4126,0.89,54.4
75,Monday,396,0.5128,0.3399,0.88,56.6
75,Tuesday,441,0.5175,0.3579,0.9,54.6
75,Wednesday,439,0.5691,0.3643,0.9,54.9
75,Thursday,431,0.5794,0.376,0.89,54.3
75,Friday,431,0.5568,0.3803,0.88,55.2
80,Monday,392,0.5067,0.3344,0.87,57.4
80,Tuesday,440,0.5121,0.3511,0.89,54.5
80,Wednesday,434,0.5839,0.3647,0.9,55.8
80,Thursday,426,0.5672,0.3672,0.88,54.5
80,Friday,431,0.5511,0.3691,0.88,56.1
85,Monday,389,0.4954,0.3118,0.87,57.3
85,Tuesday,435,0.5007,0.3535,0.89,54.3
85,Wednesday,428,0.5788,0.3636,0.9,54.7
85,Thursday,424,0.5621,0.368,0.9,54.0
85,Friday,426,0.5401,0.3606,0.88,55.9
90,Monday,386,0.4859,0.3004,0.88,57.3
90,Tuesday,430,0.4907,0.3465,0.89,55.1
90,Wednesday,427,0.5737,0.3544,0.91,55.3
90,Thursday,422,0.5549,0.3615,0.9,54.7
90,Friday,422,0.5329,0.3546,0.89,56.2
95,Monday,382,0.4721,0.2874,0.87,57.1
95,Tuesday,421,0.4788,0.3404,0.87,55.1
95,Wednesday,426,0.5735,0.353,0.89,55.6
95,Thursday,415,0.5552,0.3557,0.89,55.2
95,Friday,416,0.5231,0.3342,0.88,56.0
100,Monday,379,0.4634,0.283,0.86,57.3
100,Tuesday,418,0.4678,0.3196,0.86,55.0
100,Wednesday,419,0.569,0.3515,0.89,55.6
100,Thursday,411,0.5454,0.3521,0.89,55.0
100,Friday,410,0.5174,0.3372,0.88,56.3
