or_duration_min,alineacion,n,mfe_avg_pct,mfe_med_pct,pct_up
5,contra_gap,563,0.7621,0.4948,49.7
5,alineado_con_gap,1727,0.738,0.5182,53.0
10,contra_gap,628,0.679,0.4212,47.8
10,alineado_con_gap,1661,0.7016,0.496,54.2
15,contra_gap,612,0.6859,0.4442,49.2
15,alineado_con_gap,1676,0.6986,0.4978,53.5
20,contra_gap,589,0.6434,0.4289,51.6
20,alineado_con_gap,1696,0.6889,0.4766,52.2
25,contra_gap,608,0.6742,0.4814,52.1
25,alineado_con_gap,1674,0.6535,0.4568,54.3
30,contra_gap,612,0.636,0.4418,50.0
30,alineado_con_gap,1663,0.6573,0.4688,55.4
35,contra_gap,577,0.6036,0.4175,50.1
35,alineado_con_gap,1685,0.6332,0.4392,55.3
40,contra_gap,575,0.5862,0.3478,47.8
40,alineado_con_gap,1678,0.6165,0.4424,56.0
45,contra_gap,547,0.5526,0.3294,48.4
45,alineado_con_gap,1688,0.6051,0.4338,56.3
50,contra_gap,538,0.5012,0.3183,45.2
50,alineado_con_gap,1681,0.6133,0.4272,56.9
55,contra_gap,537,0.5278,0.3294,45.6
55,alineado_con_gap,1672,0.5902,0.419,56.5
60,contra_gap,547,0.5343,0.3146,44.6
60,alineado_con_gap,1652,0.5761,0.4173,56.9
65,contra_gap,569,0.5562,0.3265,46.4
65,alineado_con_gap,1610,0.561,0.406,57.1
70,contra_gap,568,0.5547,0.3283,45.1
70,alineado_con_gap,1593,0.5534,0.3918,58.2
75,contra_gap,558,0.5514,0.299,46.1
75,alineado_con_gap,1580,0.5463,0.3907,58.3
80,contra_gap,544,0.581,0.3196,46.9
80,alineado_con_gap,1579,0.5323,0.3691,58.6
85,contra_gap,526,0.5707,0.3155,47.3
85,alineado_con_gap,1576,0.5244,0.3638,57.8
90,contra_gap,495,0.5782,0.3189,51.1
90,alineado_con_gap,1592,0.5128,0.3451,57.1
95,contra_gap,480,0.5575,0.3284,50.6
95,alineado_con_gap,1580,0.5105,0.3322,57.3
100,contra_gap,465,0.54,0.3222,48.0
100,alineado_con_gap,1572,0.5056,0.3299,58.1
105,contra_gap,462,0.5258,0.3076,45.9
105,alineado_con_gap,1554,0.5023,0.3246,59.3
110,contra_gap,441,0.501,0.2964,46.0
110,alineado_con_gap,1555,0.5005,0.3257,58.8
115,contra_gap,410,0.4712,0.2784,44.9
115,alineado_con_gap,1569,0.4976,0.3237,58.8
120,contra_gap,420,0.4984,0.2803,45.2
120,alineado_con_gap,1540,0.485,0.318,59.0
