or_duration_min,franja_horaria,n,pct_up,mfe_avg_pct,mfe_med_pct,vol_ratio_avg,strength_avg
5,09:30-10:00,2264,52.3,0.7476,0.5174,0.98,0.0302
5,10:00-10:30,25,44.0,0.4291,0.1892,0.81,0.1231
10,09:30-10:00,2098,52.0,0.7017,0.4936,0.95,0.021
10,10:00-10:30,168,54.2,0.642,0.4146,0.88,0.0535
10,10:30-11:00,17,76.5,0.5206,0.3866,0.66,0.019
15,09:30-10:00,1870,51.8,0.7086,0.5006,0.95,0.0236
15,10:00-10:30,351,53.8,0.6721,0.4283,0.9,0.0417
15,10:30-11:00,44,63.6,0.4799,0.3556,0.76,0.011
15,11:00-11:30,12,41.7,0.4828,0.2972,0.76,0.0484
20,09:30-10:00,1470,51.0,0.6985,0.4914,0.95,0.0205
20,10:00-10:30,676,52.8,0.6712,0.462,0.93,0.0374
20,10:30-11:00,92,62.0,0.5745,0.3864,0.81,0.0135
20,11:00-11:30,22,50.0,0.451,0.3188,0.81,0.0378
25,09:30-10:00,938,53.6,0.6802,0.4938,0.93,0.0042
25,10:00-10:30,1092,52.4,0.6806,0.4776,0.95,0.0282
25,10:30-11:00,149,59.7,0.5501,0.3457,0.83,0.0191
25,11:00-11:30,48,62.5,0.4426,0.3188,0.77,0.0444
25,11:30-12:00,15,73.3,0.4064,0.2573,0.67,0.0283
25,12:00-12:30,10,70.0,0.3412,0.2905,0.72,0.0277
30,10:00-10:30,1907,53.6,0.6856,0.4951,0.98,0.0229
30,10:30-11:00,209,56.0,0.5468,0.3739,0.85,0.0193
30,11:00-11:30,78,56.4,0.4327,0.29,0.79,0.0345
30,11:30-12:00,22,63.6,0.3993,0.2824,0.75,0.0211
30,12:00-12:30,14,64.3,0.3302,0.2905,0.74,0.0341
30,12:30-13:00,13,46.2,0.2684,0.0597,0.55,-0.0035
35,10:00-10:30,1662,53.5,0.6719,0.4832,0.95,0.0188
35,10:30-11:00,325,55.1,0.5346,0.3712,0.87,0.0227
35,11:00-11:30,125,56.0,0.4695,0.3079,0.8,0.0351
35,11:30-12:00,42,57.1,0.4485,0.3282,0.78,0.0187
35,12:00-12:30,25,48.0,0.3844,0.3808,0.71,0.0253
35,12:30-13:00,20,45.0,0.384,0.1433,0.56,0.0053
