or_duration_min,variable,quintil,breakout_strength_avg,n,mfe_avg_pct,mfe_med_pct,pct_up
5,breakout_strength,Q1,-0.2847,458,0.594,0.3875,52.2
5,breakout_strength,Q2,-0.0624,458,0.6623,0.4284,52.0
5,breakout_strength,Q3,0.0327,463,0.8324,0.5838,57.2
5,breakout_strength,Q4,0.1268,453,0.7776,0.5444,51.4
5,breakout_strength,Q5,0.3444,458,0.8528,0.6196,48.3
10,breakout_strength,Q1,-0.1795,459,0.6054,0.4032,47.5
10,breakout_strength,Q2,-0.0406,457,0.6983,0.4981,58.2
10,breakout_strength,Q3,0.0207,457,0.6807,0.4765,58.2
10,breakout_strength,Q4,0.0804,460,0.6902,0.4692,50.9
10,breakout_strength,Q5,0.2365,456,0.8031,0.565,47.6
15,breakout_strength,Q1,-0.1495,458,0.6246,0.3974,47.6
15,breakout_strength,Q2,-0.0258,510,0.666,0.4318,57.6
15,breakout_strength,Q3,0.0238,405,0.7234,0.5309,57.0
15,breakout_strength,Q4,0.0747,457,0.6846,0.4984,54.9
15,breakout_strength,Q5,0.2127,458,0.7839,0.5332,44.3
20,breakout_strength,Q1,-0.1238,457,0.5827,0.3783,47.7
20,breakout_strength,Q2,-0.0212,483,0.671,0.4438,59.6
20,breakout_strength,Q3,0.0208,431,0.7015,0.4977,56.4
20,breakout_strength,Q4,0.0664,458,0.6967,0.4862,55.5
20,breakout_strength,Q5,0.1852,456,0.7358,0.5216,40.8
25,breakout_strength,Q1,-0.1183,458,0.5598,0.3682,45.6
25,breakout_strength,Q2,-0.0192,502,0.6535,0.4321,58.0
25,breakout_strength,Q3,0.0179,410,0.6829,0.4842,59.0
25,breakout_strength,Q4,0.0545,456,0.7058,0.4986,56.6
25,breakout_strength,Q5,0.158,456,0.6966,0.512,49.6
30,breakout_strength,Q1,-0.1166,455,0.5524,0.3606,52.1
30,breakout_strength,Q2,-0.0182,458,0.6219,0.4172,61.1
30,breakout_strength,Q3,0.0195,453,0.6455,0.4725,57.0
30,breakout_strength,Q4,0.0597,454,0.6938,0.4892,53.3
30,breakout_strength,Q5,0.1691,455,0.7445,0.5657,46.4
35,breakout_strength,Q1,-0.0898,454,0.5684,0.3964,47.1
35,breakout_strength,Q2,-0.0147,451,0.5838,0.3922,60.8
35,breakout_strength,Q3,0.0163,452,0.5732,0.4082,61.7
35,breakout_strength,Q4,0.0512,452,0.6537,0.4571,54.6
35,breakout_strength,Q5,0.1375,453,0.749,0.5227,45.5
40,breakout_strength,Q1,-0.0851,451,0.5451,0.3386,49.4
40,breakout_strength,Q2,-0.0131,450,0.5695,0.3842,59.6
40,breakout_strength,Q3,0.0152,454,0.5769,0.4198,60.8
40,breakout_strength,Q4,0.0473,447,0.6749,0.46,55.3
40,breakout_strength,Q5,0.1303,451,0.6785,0.4618,44.3
45,breakout_strength,Q1,-0.0737,447,0.5424,0.3579,51.5
45,breakout_strength,Q2,-0.0106,448,0.5483,0.348,60.3
45,breakout_strength,Q3,0.0147,446,0.5885,0.4106,59.2
45,breakout_strength,Q4,0.0446,447,0.6195,0.4385,55.0
45,breakout_strength,Q5,0.1206,447,0.6626,0.4566,46.1
50,breakout_strength,Q1,-0.0724,447,0.5373,0.3655,49.9
50,breakout_strength,Q2,-0.0114,447,0.536,0.3241,60.6
50,breakout_strength,Q3,0.0137,438,0.5664,0.4176,59.1
50,breakout_strength,Q4,0.0422,443,0.6115,0.4248,56.7
50,breakout_strength,Q5,0.1146,444,0.6797,0.458,44.1
55,breakout_strength,Q1,-0.0689,442,0.5708,0.3761,49.3
55,breakout_strength,Q2,-0.0095,442,0.5399,0.3252,60.2
55,breakout_strength,Q3,0.0136,442,0.5532,0.3875,58.4
55,breakout_strength,Q4,0.0409,441,0.555,0.4045,57.4
55,breakout_strength,Q5,0.1111,442,0.6562,0.4592,44.1
60,breakout_strength,Q1,-0.0713,441,0.5718,0.3714,48.1
60,breakout_strength,Q2,-0.01,469,0.5266,0.341,59.7
60,breakout_strength,Q3,0.0123,410,0.5439,0.3444,58.8
60,breakout_strength,Q4,0.0386,439,0.5643,0.4129,56.3
60,breakout_strength,Q5,0.1071,440,0.623,0.4374,46.4
65,breakout_strength,Q1,-0.0635,437,0.5571,0.3579,49.2
65,breakout_strength,Q2,-0.008,437,0.5325,0.3442,59.0
65,breakout_strength,Q3,0.0126,433,0.5301,0.3455,60.0
65,breakout_strength,Q4,0.0378,436,0.5647,0.4226,57.1
65,breakout_strength,Q5,0.1044,436,0.6143,0.4163,46.1
70,breakout_strength,Q1,-0.0637,434,0.5439,0.3521,49.3
70,breakout_strength,Q2,-0.0087,440,0.5314,0.3538,60.0
70,breakout_strength,Q3,0.0117,425,0.5512,0.385,60.2
70,breakout_strength,Q4,0.036,430,0.5694,0.415,57.9
70,breakout_strength,Q5,0.0985,432,0.5732,0.3754,46.3
75,breakout_strength,Q1,-0.0626,428,0.5389,0.3349,49.3
75,breakout_strength,Q2,-0.0084,437,0.5396,0.3647,60.2
75,breakout_strength,Q3,0.011,418,0.5275,0.3736,63.2
75,breakout_strength,Q4,0.0352,427,0.5497,0.3806,57.4
75,breakout_strength,Q5,0.0979,428,0.5821,0.3674,45.6
80,breakout_strength,Q1,-0.0604,425,0.5458,0.3513,49.6
80,breakout_strength,Q2,-0.009,434,0.5143,0.3249,59.9
80,breakout_strength,Q3,0.0111,415,0.5421,0.3654,63.9
80,breakout_strength,Q4,0.0347,424,0.5302,0.3807,58.0
80,breakout_strength,Q5,0.0935,425,0.5919,0.3658,46.8
85,breakout_strength,Q1,-0.0576,422,0.5228,0.3282,53.8
85,breakout_strength,Q2,-0.0074,422,0.4867,0.3218,57.6
85,breakout_strength,Q3,0.0114,417,0.5433,0.3763,60.7
85,breakout_strength,Q4,0.0339,420,0.5095,0.3767,58.1
85,breakout_strength,Q5,0.0936,421,0.6178,0.3749,45.8
90,breakout_strength,Q1,-0.0595,418,0.4987,0.3317,53.1
90,breakout_strength,Q2,-0.007,418,0.4741,0.3128,59.1
90,breakout_strength,Q3,0.0112,416,0.5287,0.3767,59.9
90,breakout_strength,Q4,0.033,417,0.5191,0.3369,60.0
90,breakout_strength,Q5,0.0922,418,0.6211,0.365,46.4
95,breakout_strength,Q1,-0.0568,413,0.5206,0.319,54.2
95,breakout_strength,Q2,-0.0067,412,0.4719,0.3183,60.0
95,breakout_strength,Q3,0.0104,412,0.5127,0.3255,60.7
95,breakout_strength,Q4,0.0309,411,0.5207,0.3285,57.2
95,breakout_strength,Q5,0.0891,412,0.5815,0.365,46.8
100,breakout_strength,Q1,-0.0556,408,0.5028,0.3177,52.5
100,breakout_strength,Q2,-0.0066,407,0.4547,0.3087,61.2
100,breakout_strength,Q3,0.0102,411,0.5164,0.3119,60.1
100,breakout_strength,Q4,0.0303,403,0.5092,0.3415,58.1
100,breakout_strength,Q5,0.0895,408,0.5839,0.3668,47.3
105,breakout_strength,Q1,-0.0546,405,0.4989,0.3076,54.3
105,breakout_strength,Q2,-0.0063,404,0.4592,0.3019,59.9
105,breakout_strength,Q3,0.0106,404,0.5031,0.311,61.4
105,breakout_strength,Q4,0.0312,401,0.5173,0.3501,56.9
105,breakout_strength,Q5,0.0875,402,0.5601,0.347,48.5
110,breakout_strength,Q1,-0.0517,400,0.4993,0.3094,53.0
110,breakout_strength,Q2,-0.0063,401,0.4376,0.264,61.3
110,breakout_strength,Q3,0.0097,397,0.5107,0.334,60.5
110,breakout_strength,Q4,0.0286,400,0.4871,0.3359,56.0
110,breakout_strength,Q5,0.085,398,0.5689,0.3336,49.0
115,breakout_strength,Q1,-0.052,396,0.4999,0.2995,54.0
115,breakout_strength,Q2,-0.0065,397,0.4259,0.2867,61.2
115,breakout_strength,Q3,0.0099,395,0.4871,0.3075,60.8
115,breakout_strength,Q4,0.0283,395,0.4985,0.3341,56.2
115,breakout_strength,Q5,0.0828,396,0.5493,0.33,47.5
120,breakout_strength,Q1,-0.0515,392,0.4864,0.3107,54.6
120,breakout_strength,Q2,-0.0067,392,0.4661,0.2952,62.5
120,breakout_strength,Q3,0.0098,392,0.4675,0.2952,59.2
120,breakout_strength,Q4,0.0287,394,0.4996,0.3359,55.8
120,breakout_strength,Q5,0.0823,390,0.5198,0.3102,48.2
