or_duration_min,variable,quintil,vol_ratio_avg,n,mfe_avg_pct,mfe_med_pct,pct_up
5,vol_ratio,Q1,0.7889,459,0.6087,0.4534,61.9
5,vol_ratio,Q2,0.9267,457,0.7135,0.4603,57.3
5,vol_ratio,Q3,0.9748,458,0.8923,0.663,48.3
5,vol_ratio,Q4,1.0223,458,0.8008,0.5864,44.3
5,vol_ratio,Q5,1.1926,458,0.7047,0.4727,49.3
10,vol_ratio,Q1,0.7348,458,0.5436,0.386,67.0
10,vol_ratio,Q2,0.8835,458,0.6255,0.453,58.1
10,vol_ratio,Q3,0.948,457,0.7575,0.5356,51.4
10,vol_ratio,Q4,1.0005,459,0.8238,0.5762,44.0
10,vol_ratio,Q5,1.14,457,0.7266,0.4923,41.8
15,vol_ratio,Q1,0.7142,458,0.5292,0.3597,69.0
15,vol_ratio,Q2,0.8765,457,0.6771,0.5025,60.8
15,vol_ratio,Q3,0.9466,458,0.8029,0.5686,53.7
15,vol_ratio,Q4,1.0056,457,0.7523,0.5162,41.1
15,vol_ratio,Q5,1.1547,458,0.7145,0.4912,36.9
20,vol_ratio,Q1,0.7075,457,0.4938,0.3386,70.5
20,vol_ratio,Q2,0.8696,458,0.6308,0.472,61.4
20,vol_ratio,Q3,0.9373,456,0.7741,0.525,50.2
20,vol_ratio,Q4,0.9968,457,0.7831,0.5352,44.4
20,vol_ratio,Q5,1.1498,457,0.7044,0.5053,33.7
25,vol_ratio,Q1,0.6756,458,0.488,0.3531,73.1
25,vol_ratio,Q2,0.8522,455,0.6322,0.4553,63.5
25,vol_ratio,Q3,0.9283,457,0.7284,0.5213,50.3
25,vol_ratio,Q4,0.9939,456,0.7704,0.5052,45.6
25,vol_ratio,Q5,1.1641,456,0.6767,0.4833,36.0
30,vol_ratio,Q1,0.6897,455,0.4792,0.3348,74.5
30,vol_ratio,Q2,0.8785,455,0.6673,0.4516,60.7
30,vol_ratio,Q3,0.9588,455,0.7797,0.573,51.4
30,vol_ratio,Q4,1.0297,456,0.6368,0.4488,45.4
30,vol_ratio,Q5,1.2133,454,0.695,0.514,37.9
35,vol_ratio,Q1,0.6473,453,0.436,0.2968,75.7
35,vol_ratio,Q2,0.8393,452,0.5945,0.4295,61.7
35,vol_ratio,Q3,0.9268,453,0.7208,0.5258,56.1
35,vol_ratio,Q4,1.0003,451,0.7592,0.51,41.9
35,vol_ratio,Q5,1.1714,453,0.6183,0.4377,34.2
40,vol_ratio,Q1,0.6377,451,0.4439,0.2994,77.6
40,vol_ratio,Q2,0.826,450,0.5246,0.4065,63.3
40,vol_ratio,Q3,0.9163,451,0.7087,0.5258,54.3
40,vol_ratio,Q4,0.9946,450,0.7819,0.5273,40.4
40,vol_ratio,Q5,1.1772,451,0.5852,0.4115,33.7
45,vol_ratio,Q1,0.6275,447,0.3979,0.2771,78.1
45,vol_ratio,Q2,0.82,447,0.5597,0.4004,64.9
45,vol_ratio,Q3,0.911,447,0.6501,0.4471,57.5
45,vol_ratio,Q4,0.989,447,0.7477,0.5207,38.3
45,vol_ratio,Q5,1.177,447,0.6058,0.4449,33.3
50,vol_ratio,Q1,0.6161,445,0.4008,0.2866,79.8
50,vol_ratio,Q2,0.8078,444,0.5055,0.3774,67.6
50,vol_ratio,Q3,0.9011,442,0.6752,0.4679,55.9
50,vol_ratio,Q4,0.9887,444,0.7321,0.5177,38.1
50,vol_ratio,Q5,1.2147,444,0.6176,0.4432,29.1
55,vol_ratio,Q1,0.6037,442,0.4016,0.305,78.7
55,vol_ratio,Q2,0.801,442,0.4961,0.3448,70.1
55,vol_ratio,Q3,0.8987,441,0.6655,0.46,54.0
55,vol_ratio,Q4,0.9894,444,0.6879,0.5052,39.4
55,vol_ratio,Q5,1.2156,440,0.6239,0.4462,27.0
60,vol_ratio,Q1,0.6058,440,0.3964,0.2844,79.1
60,vol_ratio,Q2,0.8072,440,0.5055,0.3346,68.2
60,vol_ratio,Q3,0.9068,440,0.6537,0.4607,55.2
60,vol_ratio,Q4,0.9981,439,0.6796,0.5007,39.0
60,vol_ratio,Q5,1.2664,440,0.5935,0.4242,27.7
65,vol_ratio,Q1,0.5862,436,0.3749,0.2614,82.1
65,vol_ratio,Q2,0.782,437,0.5043,0.341,69.1
65,vol_ratio,Q3,0.8862,435,0.648,0.4897,54.0
65,vol_ratio,Q4,0.9819,435,0.6888,0.462,40.0
65,vol_ratio,Q5,1.232,436,0.5836,0.3974,26.1
70,vol_ratio,Q1,0.5857,433,0.3734,0.2625,82.9
70,vol_ratio,Q2,0.7792,432,0.5299,0.3688,69.9
70,vol_ratio,Q3,0.8794,432,0.5943,0.4271,55.1
70,vol_ratio,Q4,0.9782,432,0.7051,0.5046,38.0
70,vol_ratio,Q5,1.2293,432,0.5664,0.3672,27.8
75,vol_ratio,Q1,0.5828,428,0.3752,0.2708,84.1
75,vol_ratio,Q2,0.7739,427,0.4979,0.3342,70.5
75,vol_ratio,Q3,0.8783,428,0.6217,0.4396,55.1
75,vol_ratio,Q4,0.9797,427,0.6615,0.4474,37.7
75,vol_ratio,Q5,1.2315,428,0.582,0.3806,28.0
80,vol_ratio,Q1,0.5749,425,0.3534,0.2565,85.2
80,vol_ratio,Q2,0.7681,424,0.518,0.3542,69.3
80,vol_ratio,Q3,0.8718,425,0.5747,0.4091,57.9
80,vol_ratio,Q4,0.978,424,0.6684,0.4418,36.6
80,vol_ratio,Q5,1.2319,425,0.6095,0.3726,29.2
85,vol_ratio,Q1,0.5701,421,0.3478,0.2476,85.7
85,vol_ratio,Q2,0.7656,420,0.5214,0.366,66.9
85,vol_ratio,Q3,0.8709,421,0.5506,0.3945,59.1
85,vol_ratio,Q4,0.9808,419,0.6522,0.434,36.0
85,vol_ratio,Q5,1.2435,421,0.6085,0.3544,28.0
90,vol_ratio,Q1,0.5734,419,0.3321,0.2364,84.5
90,vol_ratio,Q2,0.7709,416,0.5227,0.3767,69.5
90,vol_ratio,Q3,0.8784,417,0.553,0.409,58.5
90,vol_ratio,Q4,0.9917,419,0.6458,0.4032,37.7
90,vol_ratio,Q5,1.2582,416,0.5886,0.3422,28.1
95,vol_ratio,Q1,0.5522,412,0.3226,0.2308,85.7
95,vol_ratio,Q2,0.7517,412,0.4763,0.3217,74.3
