or_duration_min,n_breakouts,n_alejados,n_retest,pct_alejado,pct_retest_del_total,pct_retest_del_alejado,mfe_pre_avg_pct,mfe_pre_med_pct,mins_to_retest_avg,mins_to_retest_med,retest_speed_avg,retest_depth_avg_pct
5,2290,1583,1096,69.1,47.9,69.2,0.3608,0.2979,33.5,23.0,0.026142,-5.1374
10,2289,1538,1037,67.2,45.3,67.4,0.3485,0.2877,33.3,22.0,0.0242,-3.3847
15,2288,1565,1045,68.4,45.7,66.8,0.3507,0.2882,35.8,25.0,0.022543,-3.1912
20,2285,1524,1019,66.7,44.6,66.9,0.3525,0.2887,37.5,28.0,0.021708,-3.2647
25,2282,1497,1000,65.6,43.8,66.8,0.35,0.2901,37.5,28.0,0.02193,-3.5038
30,2274,1484,966,65.3,42.5,65.1,0.3507,0.294,38.4,29.0,0.021954,-3.299
35,2261,1461,937,64.6,41.4,64.1,0.3487,0.283,39.0,29.0,0.020161,-3.2156
40,2252,1434,909,63.7,40.4,63.4,0.3453,0.282,39.7,31.0,0.019803,-3.141
45,2234,1376,855,61.6,38.3,62.1,0.3411,0.2846,39.3,30.0,0.020455,-2.9987
50,2218,1366,849,61.6,38.3,62.2,0.3357,0.2821,39.6,29.0,0.019848,-3.0633
55,2208,1345,836,60.9,37.9,62.2,0.3384,0.28,40.8,33.0,0.019241,-3.1124
60,2198,1316,810,59.9,36.9,61.6,0.3363,0.2779,41.0,34.0,0.019127,-2.9081
65,2178,1282,777,58.9,35.7,60.6,0.344,0.2842,41.5,35.0,0.018924,-2.5576
70,2159,1267,776,58.7,35.9,61.2,0.339,0.2857,43.5,37.0,0.017641,-2.3637
75,2136,1245,780,58.3,36.5,62.7,0.3392,0.289,43.6,37.0,0.017316,-2.3661
80,2120,1227,758,57.9,35.8,61.8,0.333,0.284,44.0,38.0,0.017333,-2.3248
85,2099,1212,750,57.7,35.7,61.9,0.3336,0.2798,44.3,37.0,0.017164,-2.1781
90,2084,1193,743,57.2,35.7,62.3,0.3294,0.2772,44.6,37.0,0.016552,-2.162
95,2056,1165,714,56.7,34.7,61.3,0.3286,0.2802,44.9,37.5,0.016508,-2.0258
100,2031,1138,693,56.0,34.1,60.9,0.3312,0.2803,45.6,39.0,0.016262,-1.9584
105,2010,1110,684,55.2,34.0,61.6,0.3346,0.2808,46.6,41.0,0.016356,-1.8585
110,1990,1090,668,54.8,33.6,61.3,0.3407,0.2822,48.4,42.0,0.016183,-1.771
115,1972,1074,661,54.5,33.5,61.5,0.3432,0.2781,48.9,43.0,0.01617,-1.7231
120,1953,1057,638,54.1,32.7,60.4,0.3475,0.2824,48.7,41.0,0.016772,-1.6224
