date,or_duration_min,or_size_pct,or_close_position,breakout_dir,breakout_minute,breakout_strength,vol_ratio,mfe_pre_retest_pct,mins_to_retest,retest_speed,retest_depth_pct,outcome,mfe_post_pct,continuation_ratio,mins_to_continuation,mae_falla_pct,mins_to_falla
2017-01-27,5,0.1511,0.0526,down,5,-0.1053,0.937,0.2625,67.0,0.003918,-10.5263,neutro,,,,,
2017-01-27,10,0.2069,0.2308,down,10,-0.0385,0.9784,0.2069,47.0,0.004403,-19.2308,neutro,,,,,
2017-01-30,15,0.5938,0.0405,down,15,-0.0541,1.5379,0.4092,117.0,0.003498,-8.1081,neutro,,,,,
2017-01-30,20,0.7069,0.0455,down,20,0.0455,0.9098,0.2972,80.0,0.003715,-4.5455,neutro,,,,,
2017-01-30,25,0.7482,0.1515,down,36,0.0634,0.834,0.2564,20.0,0.012818,-5.2632,neutro,,,,,
2017-01-30,30,0.7482,0.13,down,36,0.0634,0.9021,0.2564,20.0,0.012818,-5.2632,neutro,,,,,
2017-01-30,35,0.7482,0.0763,down,36,0.0634,0.9253,0.2564,20.0,0.012818,-5.2632,neutro,,,,,
2017-01-31,5,0.177,0.2727,down,11,0.0455,0.3679,0.2413,34.0,0.007097,-27.2727,neutro,,,,,
2017-01-31,10,0.177,0.2273,down,11,0.0455,0.3264,0.2413,34.0,0.007097,-27.2727,neutro,,,,,
2017-02-01,25,0.2553,0.0938,down,34,0.0938,1.1396,0.2074,27.0,0.007682,-18.75,continuacion,0.2154,1.0385,7.0,,
2017-02-01,30,0.2553,0.0625,down,34,0.0938,1.2385,0.2074,27.0,0.007682,-18.75,continuacion,0.2154,1.0385,7.0,,
2017-02-02,15,0.3684,0.8696,up,15,-0.0435,0.6653,0.2075,20.0,0.010374,-13.0435,continuacion,0.2554,1.2308,53.0,,
2017-02-02,20,0.4405,1.0,up,26,0.0909,0.754,0.2313,109.0,0.002122,-6.7273,neutro,,,,,
2017-02-02,25,0.4405,0.9091,up,26,0.0909,0.8458,0.2313,109.0,0.002122,-6.7273,neutro,,,,,
2017-02-03,5,0.1117,0.6429,up,5,0.0,1.0111,0.2151,59.0,0.003646,-28.5714,neutro,,,,,
2017-02-07,15,0.1905,1.0,up,15,0.1667,1.0845,0.2615,100.0,0.002615,-25.0,neutro,,,,,
2017-02-07,20,0.2461,0.8387,up,36,0.0968,0.2723,0.2059,74.0,0.002782,-16.129,neutro,,,,,
2017-02-07,25,0.2461,0.871,up,36,0.0968,0.2891,0.2059,74.0,0.002782,-16.129,neutro,,,,,
2017-02-07,30,0.2461,0.8065,up,36,0.0968,0.3103,0.2059,74.0,0.002782,-16.129,neutro,,,,,
2017-02-07,35,0.2461,0.7742,up,36,0.0968,0.3288,0.2059,74.0,0.002782,-16.129,neutro,,,,,
2017-02-09,65,0.2924,0.7297,up,102,0.027,0.5464,0.2206,94.0,0.002347,-16.2162,neutro,,,,,
2017-02-09,70,0.2924,0.6216,up,102,0.027,0.5646,0.2206,94.0,0.002347,-16.2162,neutro,,,,,
2017-02-09,75,0.2924,0.8108,up,102,0.027,0.572,0.2206,94.0,0.002347,-16.2162,neutro,,,,,
2017-02-09,80,0.2924,0.8649,up,102,0.027,0.579,0.2206,94.0,0.002347,-16.2162,neutro,,,,,
2017-02-09,85,0.2924,0.8649,up,102,0.027,0.5941,0.2206,94.0,0.002347,-16.2162,neutro,,,,,
2017-02-09,90,0.2924,0.9189,up,102,0.027,0.6029,0.2206,94.0,0.002347,-16.2162,neutro,,,,,
2017-02-09,95,0.2924,0.8919,up,102,0.027,0.6152,0.2206,94.0,0.002347,-16.2162,neutro,,,,,
2017-02-09,100,0.2924,0.8649,up,102,0.027,0.6278,0.2206,94.0,0.002347,-16.2162,neutro,,,,,
2017-02-15,20,0.2025,0.9077,up,21,0.0,0.5991,0.2643,114.0,0.002319,-19.2308,neutro,,,,,
2017-02-15,25,0.2103,1.0,up,28,0.037,0.1219,0.2565,107.0,0.002397,-14.8148,neutro,,,,,
2017-02-15,30,0.2259,0.9655,up,61,0.0,0.5501,0.2409,73.0,0.003301,-20.6897,neutro,,,,,
2017-02-15,35,0.2259,0.7931,up,61,0.0,0.5661,0.2409,73.0,0.003301,-20.6897,neutro,,,,,
2017-02-15,40,0.2259,0.6552,up,61,0.0,0.5783,0.2409,73.0,0.003301,-20.6897,neutro,,,,,
2017-02-15,45,0.2259,0.7241,up,61,0.0,0.6054,0.2409,73.0,0.003301,-20.6897,neutro,,,,,
2017-02-15,50,0.2259,0.7931,up,61,0.0,0.6265,0.2409,73.0,0.003301,-20.6897,neutro,,,,,
2017-02-15,55,0.2259,0.6552,up,61,0.0,0.6348,0.2409,73.0,0.003301,-20.6897,neutro,,,,,
2017-02-15,60,0.2259,0.8276,up,61,0.0,0.6443,0.2409,73.0,0.003301,-20.6897,neutro,,,,,
2017-02-15,65,0.2493,0.9688,up,65,0.0,0.2645,0.2176,69.0,0.003153,-9.375,neutro,,,,,
2017-02-16,25,0.3251,0.0714,down,31,0.0238,0.9237,0.2167,79.0,0.002743,-9.5238,neutro,,,,,
2017-02-16,30,0.3251,0.2381,down,31,0.0238,0.9721,0.2167,79.0,0.002743,-9.5238,neutro,,,,,
2017-02-16,35,0.3406,0.1136,down,81,0.0227,0.8673,0.2013,28.0,0.007188,-11.8182,neutro,,,,,
2017-02-16,40,0.3406,0.3409,down,81,0.0227,0.9216,0.2013,28.0,0.007188,-11.8182,neutro,,,,,
2017-02-16,45,0.3406,0.1591,down,81,0.0227,0.9826,0.2013,28.0,0.007188,-11.8182,neutro,,,,,
2017-02-16,50,0.3406,0.2955,down,81,0.0227,1.0192,0.2013,28.0,0.007188,-11.8182,neutro,,,,,
2017-02-16,55,0.3406,0.6136,down,81,0.0227,1.0351,0.2013,28.0,0.007188,-11.8182,neutro,,,,,
2017-02-16,60,0.3406,0.5227,down,81,0.0227,1.0469,0.2013,28.0,0.007188,-11.8182,neutro,,,,,
2017-02-16,65,0.3406,0.7727,down,81,0.0227,1.0516,0.2013,28.0,0.007188,-11.8182,neutro,,,,,
2017-02-16,70,0.3406,0.6591,down,81,0.0227,1.0766,0.2013,28.0,0.007188,-11.8182,neutro,,,,,
2017-02-16,75,0.3406,0.6818,down,81,0.0227,1.0955,0.2013,28.0,0.007188,-11.8182,neutro,,,,,
2017-02-16,80,0.3406,0.0659,down,81,0.0227,1.071,0.2013,28.0,0.007188,-11.8182,neutro,,,,,
2017-02-17,5,0.1162,0.26,up,8,0.0,0.9946,0.209,101.0,0.002069,-40.0,neutro,,,,,
2017-02-21,5,0.0846,0.8182,up,6,0.4545,0.5011,0.3229,114.0,0.002832,-54.5455,neutro,,,,,
2017-02-21,10,0.1462,0.9474,up,10,-0.2105,0.9028,0.2612,104.0,0.002512,-21.0526,neutro,,,,,
2017-02-21,15,0.1693,0.8636,up,15,0.2273,1.1916,0.2381,99.0,0.002405,-4.5455,neutro,,,,,
2017-02-23,50,0.537,0.1418,down,55,-0.0287,0.7145,0.377,112.0,0.003366,-5.7307,neutro,,,,,
