or_duration_min,n_retests,n_continuacion,n_falla,n_neutro,pct_continuacion,pct_falla,pct_neutro,mfe_post_avg_pct,mfe_post_med_pct,cont_ratio_avg,cont_ratio_med,mins_to_cont_avg,mae_falla_avg_pct,mins_to_falla_avg
5,1096,523,358,215,47.7,32.7,19.6,0.3679,0.3252,1.1876,1.1349,16.2,0.4116,20.9
10,1037,496,252,289,47.8,24.3,27.9,0.3637,0.325,1.2057,1.1449,16.5,0.5219,26.0
15,1045,482,195,368,46.1,18.7,35.2,0.3606,0.3204,1.195,1.1301,18.3,0.5837,29.4
20,1019,473,143,403,46.4,14.0,39.5,0.3529,0.3134,1.1778,1.1147,18.5,0.6344,32.0
25,1000,472,103,425,47.2,10.3,42.5,0.3529,0.3136,1.1741,1.1121,18.5,0.6391,33.9
30,966,463,83,420,47.9,8.6,43.5,0.3571,0.3206,1.1791,1.1137,18.7,0.6409,35.4
35,937,437,61,439,46.6,6.5,46.9,0.3513,0.3106,1.1855,1.1189,18.7,0.807,38.1
40,909,434,45,430,47.7,5.0,47.3,0.3456,0.306,1.1796,1.1133,19.1,0.817,37.8
45,855,407,36,412,47.6,4.2,48.2,0.3431,0.303,1.1767,1.1184,19.1,0.8712,39.3
50,849,392,27,430,46.2,3.2,50.6,0.3438,0.2994,1.1776,1.1224,18.7,0.8518,39.0
55,836,377,20,439,45.1,2.4,52.5,0.3425,0.3041,1.1841,1.1218,19.2,0.7975,37.7
60,810,358,17,435,44.2,2.1,53.7,0.3457,0.3058,1.1892,1.1318,20.0,0.8887,34.4
65,777,333,15,429,42.9,1.9,55.2,0.3486,0.3123,1.1748,1.1235,20.2,0.8632,31.0
70,776,336,13,427,43.3,1.7,55.0,0.351,0.3156,1.1789,1.1298,20.1,0.936,30.8
75,780,334,14,432,42.8,1.8,55.4,0.3529,0.3227,1.1784,1.1284,20.9,1.0588,33.9
80,758,319,13,426,42.1,1.7,56.2,0.3482,0.3129,1.1706,1.1302,20.9,1.1117,33.3
85,750,314,13,423,41.9,1.7,56.4,0.3486,0.3108,1.168,1.1219,20.7,1.3427,34.4
90,743,310,13,420,41.7,1.7,56.5,0.3465,0.3094,1.1712,1.1233,21.1,1.3427,34.4
95,714,298,14,402,41.7,2.0,56.3,0.3501,0.3169,1.1687,1.1172,21.5,1.2974,31.4
100,693,287,13,393,41.4,1.9,56.7,0.3555,0.318,1.1825,1.1162,21.7,1.344,32.2
105,684,281,11,392,41.1,1.6,57.3,0.3544,0.3191,1.1777,1.1239,21.0,1.1409,29.0
110,668,282,9,377,42.2,1.3,56.4,0.3639,0.3188,1.18,1.1289,21.6,1.1768,28.4
115,661,281,7,373,42.5,1.1,56.4,0.359,0.3168,1.1732,1.1139,21.6,1.1367,24.4
120,638,269,7,362,42.2,1.1,56.7,0.3633,0.317,1.1665,1.1162,21.9,1.1367,24.4
