subperiodo,variable,segmento,n,pct_cont
TOTAL,mins_to_retest,0-10min,238,68.1
TOTAL,mins_to_retest,10-20min,218,52.3
TOTAL,mins_to_retest,20-30min,130,45.4
TOTAL,mins_to_retest,30-60min,238,37.4
TOTAL,mins_to_retest,>60min,221,26.2
TOTAL,or_size_pct,Q1,209,29.2
TOTAL,or_size_pct,Q2,209,37.3
TOTAL,or_size_pct,Q3,209,49.8
TOTAL,or_size_pct,Q4,209,55.5
TOTAL,or_size_pct,Q5,209,58.9
TOTAL,mfe_pre_retest_pct,0.20-0.30%,560,54.6
TOTAL,mfe_pre_retest_pct,0.30-0.40%,242,46.3
TOTAL,mfe_pre_retest_pct,0.40-0.50%,103,34.0
TOTAL,mfe_pre_retest_pct,0.50-0.75%,93,22.6
TOTAL,mfe_pre_retest_pct,>0.75%,47,17.0
P1_2017_2019,mins_to_retest,0-10min,37,73.0
P1_2017_2019,mins_to_retest,10-20min,47,44.7
P1_2017_2019,mins_to_retest,20-30min,30,40.0
P1_2017_2019,mins_to_retest,30-60min,82,41.5
P1_2017_2019,mins_to_retest,>60min,78,19.2
P1_2017_2019,or_size_pct,Q1,55,23.6
P1_2017_2019,or_size_pct,Q2,55,38.2
P1_2017_2019,or_size_pct,Q3,54,38.9
P1_2017_2019,or_size_pct,Q4,55,49.1
P1_2017_2019,or_size_pct,Q5,55,49.1
P1_2017_2019,mfe_pre_retest_pct,0.20-0.30%,156,48.7
P1_2017_2019,mfe_pre_retest_pct,0.30-0.40%,63,38.1
P1_2017_2019,mfe_pre_retest_pct,0.40-0.50%,23,26.1
P1_2017_2019,mfe_pre_retest_pct,0.50-0.75%,20,10.0
P1_2017_2019,mfe_pre_retest_pct,>0.75%,12,8.3
P2_2020_COVID,mins_to_retest,0-10min,42,64.3
P2_2020_COVID,mins_to_retest,10-20min,32,53.1
P2_2020_COVID,mins_to_retest,20-30min,22,63.6
P2_2020_COVID,mins_to_retest,30-60min,33,48.5
P2_2020_COVID,mins_to_retest,>60min,22,22.7
P2_2020_COVID,or_size_pct,Q1,31,32.3
P2_2020_COVID,or_size_pct,Q2,30,46.7
P2_2020_COVID,or_size_pct,Q3,30,66.7
P2_2020_COVID,or_size_pct,Q4,30,56.7
P2_2020_COVID,or_size_pct,Q5,30,60.0
P2_2020_COVID,mfe_pre_retest_pct,0.20-0.30%,81,54.3
P2_2020_COVID,mfe_pre_retest_pct,0.30-0.40%,28,64.3
P2_2020_COVID,mfe_pre_retest_pct,0.40-0.50%,16,31.2
P2_2020_COVID,mfe_pre_retest_pct,0.50-0.75%,15,40.0
P2_2020_COVID,mfe_pre_retest_pct,>0.75%,11,54.5
P3_2021_bull,mins_to_retest,0-10min,14,71.4
P3_2021_bull,mins_to_retest,10-20min,16,62.5
P3_2021_bull,mins_to_retest,20-30min,12,33.3
P3_2021_bull,mins_to_retest,30-60min,24,16.7
P3_2021_bull,mins_to_retest,>60min,22,22.7
P3_2021_bull,or_size_pct,Q1,18,22.2
P3_2021_bull,or_size_pct,Q2,17,29.4
P3_2021_bull,or_size_pct,Q3,18,38.9
P3_2021_bull,or_size_pct,Q4,17,58.8
P3_2021_bull,or_size_pct,Q5,18,38.9
P3_2021_bull,mfe_pre_retest_pct,0.20-0.30%,41,58.5
P3_2021_bull,mfe_pre_retest_pct,0.30-0.40%,23,26.1
P3_2021_bull,mfe_pre_retest_pct,0.50-0.75%,14,21.4
P4_2022_bear,mins_to_retest,0-10min,69,69.6
P4_2022_bear,mins_to_retest,10-20min,49,61.2
P4_2022_bear,mins_to_retest,20-30min,14,64.3
P4_2022_bear,mins_to_retest,30-60min,22,50.0
P4_2022_bear,mins_to_retest,>60min,16,31.2
P4_2022_bear,or_size_pct,Q1,34,52.9
P4_2022_bear,or_size_pct,Q2,34,58.8
P4_2022_bear,or_size_pct,Q3,34,58.8
P4_2022_bear,or_size_pct,Q4,34,73.5
P4_2022_bear,or_size_pct,Q5,34,58.8
P4_2022_bear,mfe_pre_retest_pct,0.20-0.30%,82,69.5
P4_2022_bear,mfe_pre_retest_pct,0.30-0.40%,38,71.1
P4_2022_bear,mfe_pre_retest_pct,0.40-0.50%,23,60.9
P4_2022_bear,mfe_pre_retest_pct,0.50-0.75%,18,22.2
P5_2023_2024,mins_to_retest,0-10min,41,68.3
P5_2023_2024,mins_to_retest,10-20min,55,49.1
P5_2023_2024,mins_to_retest,20-30min,34,38.2
P5_2023_2024,mins_to_retest,30-60min,52,25.0
P5_2023_2024,mins_to_retest,>60min,51,35.3
P5_2023_2024,or_size_pct,Q1,47,27.7
P5_2023_2024,or_size_pct,Q2,46,37.0
P5_2023_2024,or_size_pct,Q3,47,36.2
P5_2023_2024,or_size_pct,Q4,46,54.3
P5_2023_2024,or_size_pct,Q5,47,57.4
P5_2023_2024,mfe_pre_retest_pct,0.20-0.30%,124,52.4
P5_2023_2024,mfe_pre_retest_pct,0.30-0.40%,63,38.1
P5_2023_2024,mfe_pre_retest_pct,0.40-0.50%,23,30.4
P5_2023_2024,mfe_pre_retest_pct,0.50-0.75%,17,17.6
