subperiodo,or_duration_min,score,n,pct_continuacion,pct_falla,pct_neutro
TOTAL,15,0,23,34.8,13.0,52.2
TOTAL,15,1,145,31.0,22.1,46.9
TOTAL,15,2,314,40.8,21.3,37.9
TOTAL,15,3,331,47.1,17.8,35.0
TOTAL,15,4,177,58.8,14.1,27.1
TOTAL,15,5,52,76.9,13.5,9.6
P1_2017_2019,15,0,11,18.2,9.1,72.7
P1_2017_2019,15,1,63,25.4,20.6,54.0
P1_2017_2019,15,2,84,46.4,17.9,35.7
P1_2017_2019,15,3,89,40.4,16.9,42.7
P1_2017_2019,15,4,24,62.5,16.7,20.8
P2_2020_COVID,15,1,17,29.4,35.3,35.3
P2_2020_COVID,15,2,45,51.1,13.3,35.6
P2_2020_COVID,15,3,46,56.5,15.2,28.3
P2_2020_COVID,15,4,28,57.1,10.7,32.1
P2_2020_COVID,15,5,11,72.7,18.2,9.1
P3_2021_bull,15,1,15,33.3,20.0,46.7
P3_2021_bull,15,2,27,22.2,22.2,55.6
P3_2021_bull,15,3,30,50.0,6.7,43.3
P3_2021_bull,15,4,14,35.7,28.6,35.7
P4_2022_bear,15,1,8,50.0,25.0,25.0
P4_2022_bear,15,2,33,45.5,30.3,24.2
P4_2022_bear,15,3,45,53.3,15.6,31.1
P4_2022_bear,15,4,58,69.0,15.5,15.5
P4_2022_bear,15,5,25,76.0,20.0,4.0
P5_2023_2024,15,0,6,66.7,16.7,16.7
P5_2023_2024,15,1,33,36.4,21.2,42.4
P5_2023_2024,15,2,87,33.3,23.0,43.7
P5_2023_2024,15,3,73,47.9,24.7,27.4
P5_2023_2024,15,4,26,46.2,11.5,42.3
P5_2023_2024,15,5,7,100.0,0.0,0.0
