alejamiento_pct,tolerancia_pct,ventana_min,es_base,n_retests,pct_cont_base,pct_falla_base,pct_neutro_base,c2_cont_pct,c2_n,tard_cont_pct,brecha_rapid_tard,combo_c1c2c4_pct,combo_c1c2c4_n,mfe_0.20_0.30,mfe_0.30_0.50,mfe_0.50_9999.00
0.1,0.05,120min,False,1647,68.85,14.39,16.76,80.13,896,34.59,45.55,83.48,115,58.62,42.54,26.67
0.15,0.05,120min,False,1310,55.95,16.11,27.94,74.67,454,30.15,44.52,76.12,67,53.66,42.12,20.37
0.2,0.05,120min,True,1045,46.12,18.66,35.22,68.07,238,26.24,41.82,69.05,42,54.64,42.61,20.71
0.25,0.05,120min,False,806,42.93,18.36,38.71,65.32,124,25.81,39.52,,18,55.0,44.78,20.73
0.3,0.05,120min,False,641,38.53,17.32,44.15,63.38,71,21.7,41.68,,12,,46.12,20.53
0.2,0.03,120min,False,1004,43.63,20.12,36.25,65.53,206,24.77,40.76,66.67,33,51.33,41.79,19.58
0.2,0.08,120min,False,1134,51.85,15.43,32.72,71.57,299,30.32,41.26,78.43,51,61.14,45.98,22.22
0.2,0.1,120min,False,1202,56.74,13.14,30.12,72.81,342,36.07,36.73,79.66,59,66.9,48.12,22.48
0.2,0.05,60min,False,824,51.46,21.0,27.55,68.07,238,,,72.22,36,56.61,49.04,27.85
0.2,0.05,90min,False,960,47.92,19.9,32.19,68.07,238,26.47,41.6,71.79,39,55.45,43.67,24.11
0.2,0.05,cierre,False,1325,39.47,17.28,43.25,68.07,238,19.76,48.31,72.34,47,51.56,36.28,14.51
